kv,quant,time_sec,mem_avg_MB,mem_peak_MB,power_avg_W,power_peak_W,time_per_output_token,time_to_first_token
fullkv,kivi,169.93673322081565,16342.487355394267,31781.094716796873,7.159171842499428,14.5664552,0.6060057490893281,165.64395907119007
fullkv,kvquant,170.06755606412887,16398.81982217618,31943.18016845703,7.20144426043149,14.894829600000001,0.6134167396898232,165.71340710291
fullkv,none,76.51003053665161,17926.56043315149,21328.149963378906,8.555303447756954,14.235288,0.5250098642240225,73.43536497704493
h2o,kivi,201.53371090650558,16027.839978259972,31289.17315185547,7.405780325874691,14.3341136,0.1742109159905274,200.39292060712054
h2o,kvquant,202.77443175792695,16029.890855687112,31299.10416015625,7.306587099979006,14.062211999999999,0.17696095895414207,201.61453460407415
h2o,none,76.320857411623,20421.07845467758,27127.589621582032,8.49121829777522,14.121335199999999,0.48145632867366667,73.50749630698006
pyramidkv,kivi,161.95753551721572,16161.461123282696,31289.0481640625,6.93465465623373,14.509073599999999,0.1755450226613991,160.47598969271502
pyramidkv,kvquant,162.82661296010016,16163.573416813695,31298.007998046876,6.8099048235283135,13.9606424,0.17758502819663988,161.32776323813033
pyramidkv,none,75.76837887048721,20394.568492499584,27127.5737109375,8.935077053135272,14.999659200000002,0.4797577408110921,72.96636477994507
snapkv,kivi,161.97554316163064,16155.82902856113,31289.17315185547,7.000742050999552,14.775412000000001,0.1758980059817913,160.68190176072991
snapkv,kvquant,162.79514366269112,16157.560674933915,31297.81788330078,6.825269005308696,14.0250456,0.17820020243590637,161.48477223171548
snapkv,none,76.1971181988716,20403.34610670903,27127.589621582032,8.472267633647238,14.029682399999999,0.4822436272942913,73.37984261468502
streamingllm,kivi,162.12642872452736,16147.499913947484,31289.173166503908,6.862670382686682,14.224697599999999,0.17618956548004486,160.49972414869
streamingllm,kvquant,162.90960634231567,16153.20294640606,31297.76543701172,7.096818287002594,15.0745208,0.1767069665491352,161.2794773857403
streamingllm,none,76.23186186671256,20401.371211024085,27127.589621582032,8.479367156343555,14.0193288,0.48205496999326186,73.42094761377973
